Kanji|JLPT-test|GPT-PT-BR|word1|reading1|translation1|word2|reading2|translation2|word3|reading3|translation3
依|2|Dependência|依存|いぞん|dependência|依頼|いらい|pedido, solicitação|依然|いぜん|ainda
委|2|Delegar, confiar|委員会|いいんかい|comitê|委任状|いにんじょう|procuração|委託|いたく|contrato
威|1|Autoridade, Poder|威圧|いあつ|intimidação|威嚇|いかく|ameaça|威信|いしん|prestígio
為|1|Para, causa|為る|する|fazer|為に|ために|para, em prol de|為せる|なせる|poder fazer
畏|0|Temor|畏れ|おそれ|medo|畏敬|いけい|respeito|畏縮|いしゅく|timidez
胃|2|Estômago|胃腸|いちょう|intestinos|胃炎|いえん|gastroenterite|胃薬|いぐすり|remédio para estômago
尉|1|Oficial|尉官|いかん|oficial|尉衛|いえい|guarda oficial|尉氏|いし|título oficial
異|2|Diferença|異なる|ことなる|diferente|異文化|いぶんか|cultura diferente|異常|いじょう|anormal
移|2|Mover, Transferir|移動|いどう|movimento|移民|いみん|imigrante|移設|いせつ|relocação
萎|0|Murchar, definhar|萎縮|いしゅく|atrofia|萎れ|しおれ|murchar|萎える|なえる|definhar
偉|3|Grandeza|偉大|いだい|grandioso|偉業|いぎょう|grande conquista|偉人|いじん|grande figura
椅|0|Cadeira|椅子|いす|cadeira|椅子職人|いすしょくにん|marceneiro de cadeiras|椅子張り|いすはり|estofamento de cadeira
彙|0|Compilação, coleção|彙編|いへん|compilação|彙誌|いし|revista|彙報|いほう|relatório
意|4|Significado, Intenção|意志|いし|vontade|意味|いみ|significado|意見|いけん|opinião
違|3|Diferença|違う|ちがう|diferir|違法|いほう|ilegal|違和感|いわかん|desconforto
維|1|Manutenção, suporte|維持|いじ|manutenção|維紋|いもん|bordado de suporte|維新|いしん|restauração
慰|1|Conforto, Consolação|慰める|なぐさめる|consolar|慰藉|いしゃく|consolo|慰問|いもん|visita de consolo
遺|1|Legado, Herança|遺産|いさん|herança|遺族|いぞく|familiares do falecido|遺言|いごん|testamento
緯|1|Latitude, linha|緯度|いど|latitude|経緯|けいい|circunstâncias|緯糸|いし|fio de trama
域|2|Área, domínio|区域|くいき|zona, área|領域|りょういき|território, domínio|区域|くいき|região, área
育|3|Educação, Crescimento|教育|きょういく|educação|育児|いくじ|criação de filhos|育てる|そだてる|cuidar
一|5|Um|一日|いちにち|um dia|一番|いちばん|o melhor|一緒|いっしょ|junto
壱|1|Um, primeiro|壱万円|いちまんえん|dez mil ienes|壱|いち|um|壱番|いちばん|primeiro
逸|1|Excepcional|逸脱|いっぱつ|desvio|逸品|いっぱん|obra-prima|逸話|いつわ|anecdota
茨|0|Espinho|茨城|いばらき|Ibaraki (prefeitura no Japão)|茨の道|いばらのみち|caminho espinhoso|茨の花|いばらのはな|flor de espinho
芋|1|Batata|芋焼酎|いもしょうちゅう|shochu de batata|芋けんぴ|いもけんぴ|batata-doce frita em tiras|里芋|さといも|batata-doce japonesa
引|3|Puxar, Atrair|引っ越し|ひっこし|mudança|引力|いんりょく|gravidade|引き出し|ひきだし|gaveta
印|2|Marca, Selo|印章|いんしょう|selo|印刷|いんさつ|impressão|印影|いんえい|imagem do selo
因|3|Causa, Fator|原因|げんいん|causa|因果|いんが|causalidade|因子|いんし|fator
咽|0|Garganta|咽喉|いんこう|garganta, faringe|咽頭|いんとう|faringe|咽せる|むせる|engasgar-se
姻|1|Casamento|婚姻|こんいん|matrimônio|姻族|いんぞく|parentesco por casamento|縁姻|えんいん|união por casamento
員|4|Membro, Funcionário|社員|しゃいん|empregado|会員|かいいん|membro|職員|しょくいん|funcionário
院|4|Instituto, Hospital|病院|びょういん|hospital|大学院|だいがくいん|pós-graduação|院長|いんちょう|diretor da instituição
淫|0|Vulgar, Obsceno|淫ら|みだら|obsceno|淫欲|いんよく|luxúria|淫乱|いんらん|promiscuidade
陰|1|Sombra, Escuridão|陰性|いんせい|negativo (teste)|陰湿|いんしつ|sombrio, traiçoeiro|陰影|いんえい|sombra
飲|4|Beber|飲む|のむ|beber|飲み物|のみもの|bebida|飲料水|いんりょうすい|água potável
隠|1|Esconder|隠れる|かくれる|esconder-se|隠す|かくす|esconder|隠し|かくし|oculto
韻|1|Rima|韻律|いんりつ|ritmo|韻文|いんぶん|poesia|音韻|おんいん|fonética
右|5|Direita|右手|みぎて|mão direita|右側|みぎがわ|lado direito|右折|うせつ|virar à direita
宇|2|Universo, Espaço|宇宙|うちゅう|universo|宇宙船|うちゅうせん|nave espacial|宇宙人|うちゅうじん|extraterrestre
羽|2|Asa|羽毛|うもう|pena|羽根|はね|asa|羽ばたき|はばたき|bater de asas
雨|5|Chuva|雨天|うてん|tempo chuvoso|雨具|あまぐ|equipamento de chuva|雨降り|あめぶり|chuva
唄|1|Canção, Música|唄う|うたう|cantar|唄|うた|canção|民謡|みんよう|canção folclórica
鬱|0|Depressão|鬱病|うつびょう|doença depressiva|鬱蒼|うっそう|sombrio|鬱積|うっせき|acúmulo de tristeza
畝|1|Leito, sulco|畝作り|うねづくり|preparação do leito|畝間|うねま|entre leitos|畝傍|うねび|em cima do leito
浦|1|Cais, Praia|浦島|うらしま|Urashima (nome japonês)|海浦|うみうら|Cais do Mar|浦辺|うらべ|Margem do Cais
運|4|Sorte, Movimento|運転|うんてん|dirigir|運動|うんどう|exercício|運命|うんめい|destino
雲|2|Nuvem|雲行き|うんゆき|ser de nuvens (tempo)|雲海|うんかい|mar de nuvens|雨雲|あまぐも|nuvem de chuva
永|2|Eterno|永遠|えいえん|eternidade|永続|えいぞく|perpetuidade|永遠の愛|えいえんのあい|amor eterno
泳|3|Nadar|泳ぐ|およぐ|nadar|泳ぎ|およぎ|natação|泳げ|およげ|nada!
英|4|Inglês|英語|えいご|inglês|英雄|えいゆう|herói|英知|えいち|sabedoria
映|4|Refletir, imagem|映る|うつる|refletir|映画|えいが|filme|映像|えいぞう|imagem
栄|2|Glória, Prosperidade|栄誉|えいよ|honra|栄養|えいよう|nutrição|栄える|さかえる|prosperar
営|2|Negócio, administração|営業|えいぎょう|vendas|運営|うんえい|administração|営む|いとなむ|operar
詠|1|Poema|詠詩|えいし|poema|詠む|よむ|recitar|詠唱|えいしょう|canto
影|1|Sombra|影響|えいきょう|influência|影絵|かげえ|silhueta|影像|えいぞう|imagem
鋭|2|Afiado, Cortante|鋭利|えいり|afiado|鋭角|えいかく|ângulo agudo|鋭い|するどい|afiado
衛|1|Proteção, guarda|衛生|えいせい|higiene|衛兵|えいへい|guarda|防衛|ぼうえい|defesa
易|3|Fácil, Troca|易しい|やさしい|fácil|易経|えききょう|Livro das Mutações|取引易|とりひきい|troca comercial
疫|1|Epidemia|疫病|えきびょう|epidemia|流行性の疫|りゅうこうせいのえき|epidemia zoonótica|疫学|えきがく|epidemiologia
益|1|Benefício, Lucro|利益|りえき|lucro|増益|ぞうえき|aumento de lucro|利益率|りえきりつ|margem de lucro
液|2|Líquido|液体|えきたい|liquido|液晶|えきしょう|LCD|液性|えきせい|natureza líquida
駅|4|Estação|駅前|えきまえ|em frente à estação|駅舎|えきしゃ|prédio da estação|地下鉄駅|ちかてつえき|estação de metrô
悦|1|Alegria, Satisfação|悦楽|えつらく|prazer|愉悦|ゆえつ|deleite|悦ぶ|よろこぶ|regozijar-se
越|3|Ultrapassar, Transcender|越える|こえる|ultrapassar|越境|えっきょう|transcender fronteiras|越冬|えっとう|sobrevivência no inverno
謁|1|Visita, audiência|謁見|えっけん|audiência|謁詞|えつし|palavras formais|謁話|えつわ|discurso formal
閲|1|Leitura, Consulta|閲覧|えつらん|consulta|閲示|えつじ|exibição|閲読|えつどく|leitura
円|5|Círculo, Iene|円周|えんしゅう|circunferência|円高|えんだか|valorização do iene|円滑|えんかつ|suave
延|2|Extensão, Prolongamento|延長|えんちょう|prorrogação|延びる|のびる|prolongar-se|延びやか|のびやか|suave
沿|1|Alongado|沿岸|えんがん|costa|沿道|えんどう|acesso|沿う|そう|seguir
炎|1|Chama, Fogo|炎症|えんしょう|inflamação|炎上|えんじょう|incêndio|炎色|えんしょく|cor das chamas
怨|0|Rancor, ódio|怨み|うらみ|ressentimento|怨念|おんねん|obsessão|怨敵|えんてき|inimigo
宴|1|Banquete, Festa|宴会|えんかい|festa, banquete|宴楽|えんがく|divertimento, festividade|祝宴|しゅくえん|banquete de celebração
媛|1|Dama, princesa|媛女|ひめおんな|dama|媛君|ひめぎみ|princesa|媛声|ひめごえ|voz delicada
援|1|Auxílio|援助|えんじょ|ajuda|支援|しえん|apoio|援護|えんご|defesa
園|3|Jardim, Parque|公園|こうえん|parque|動物園|どうぶつえん|zoológico|植物園|しょくぶつえん|jardim botânico
煙|3|Fumaça|煙草|たばこ|cigarro|煙突|えんとつ|chaminé|煙幕|えんまく|cortina de fumaça
猿|1|Macaco|猿猴|えんこう|macaco (tipo de macaco)|猿山|さるやま|montanha dos macacos|猿芝居|さるしばい|teatro de macaco
遠|3|Distante|遠足|えんそく|excursão|遠い|とおい|longe|遠慮|えんりょ|cautela
鉛|1|Chumbo|鉛筆|えんぴつ|lápis|鉛管|えんかん|tubo de chumbo|鉛色|なまりいろ|cor de chumbo
塩|2|Sal|塩辛|しおから|salgado|塩水|しおみず|água salgada|食塩|しょくえん|sal de cozinha
演|3|Atuação, Performance|演劇|えんげき|teatro|演奏|えんそう|execução (musical)|演習|えんしゅう|exercício (prático)
縁|1|Vínculo, Destino|縁起|えんぎ|presságio|縁側|えんがわ|varanda|縁結び|えんむすび|casamento
艶|1|Brilho, Elegância|艶やか|つややか|brilhante, sedoso|艶服|つやふく|roupa elegante|艶音|つやおと|som suave
汚|2|Sujo, Manchado|汚い|きたない|sujo|汚れ|よごれ|mancha|汚職|おしょく|corrupção
王|3|Rei|王様|おうさま|rei|王国|おうこく|reino|女王|じょおう|rainha
凹|1|Côncavo|凹凸|おうとつ|rugosidade|凹み|へこみ|afundamento|凹む|へこむ|afundar
央|2|Centro|中央|ちゅうおう|centro|中央銀行|ちゅうおうぎんこう|banco central|中央市場|ちゅうおうしじょう|mercado central
応|2|Resposta, Apoio|応援|おうえん|apoio|応答|おうとう|resposta|対応|たいおう|atendimento
往|1|Via, caminho|往復|おうふく|ida e volta|往年|おうねん|ano passado|往生|おうじょう|morte tranquila
押|3|Empurrar, pressionar|押す|おす|empurrar|押さえる|おさえる|segurar|押しボタン|おしぼたん|botão de pressão
旺|1|Próspero, abundante|旺盛|おうせい|vigoroso|旺華|おうか|opulência|繁旺|はんおう|florescimento
欧|2|Europa|欧米|おうべい|Ocidente|欧州|おうしゅう|Europa|欧化|おうか|europeização
殴|1|Bater, Golpear|殴る|なぐる|bater|殴打|おうだ|agressão|殴傷|おうしょう|ferimento por golpe
桜|1|Cerejeira|桜の木|さくらのき|árvore de cerejeira|桜前線|さくらぜんせん|frente de florescimento das cerejeiras|桜餅|さくらもち|bolinho de arroz com sabor de cerejeira
翁|1|velho, ancião|翁長|おうなが|um sobrenome|翁とポテト|おきなとぽてと|batata do velho|翁の知恵|おきなのちえ|sabedoria do ancião
奥|2|Interno, Fundo|奥さん|おくさん|esposa|奥行き|おくゆき|profundidade|奥義|おくぎ|segredo
横|3|Lado, horizontal|横断|おうだん|travessia|横顔|よこがお|perfil|横取り|よこどり|tomar para si
岡|1|Colina|岡山|おかやま|Okayama|丘岡|おかおか|Colina de Oka|景岡|けいおか|Cenário da colina
屋|4|Casa, Edifício|屋根|やね|telhado|書屋|しょおく|biblioteca|屋台|やたい|barraca de comida
億|2|Milhão|一億|いちおく|cem milhões|億万|おくまん|milhões|億長|おくちょう|de um bilhão
憶|1|Memória|憶測|おくそく|conjectura|憶念|おくねん|memória|記憶|きおく|lembrança
臆|0|Medo, Hesitação|臆病|おくびょう|medroso|臆測|おくそく|hipótese|臆面采配|おくめんさいはい|falta de ousadia
虞|1|Preocupação, medo|虞犯|ぐはん|delito imaginário|虞美人草|ぐびじんそう|papoula de beleza|虞闇|ぐあん|temor silencioso
乙|1|Segundo,乙|乙女|おとめ|donzela|乙姓|おつせい|sobrenome|乙な|おつな|refinado
俺|0|Eu, homem|俺様|おれさま|eu, eu mesmo (forma arrogante)|俺の|おれの|meu|俺達|おれたち|nós
卸|1|Atacado|卸売り|おろしうり|venda por atacado|卸業者|おろしぎょうしゃ|atacadista|卸売市場|おろしうりいちば|mercado atacadista
音|4|Som, Música|音楽|おんがく|música|音声|おんせい|voz, som|音読|おんどく|leitura em voz alta
恩|1|Graça, Benefício|恩恵|おんけい|benevolência|恩義|おんぎ|bondade|恩賞|おんしょう|recompensa
温|2|Quente, Calor|温泉|おんせん|fonte termal|温度|おんど|temperatura|温かい|あたたかい|quente, morno
穏|1|Calmo, Sereno|穏やか|おだやか|tranquilo|穏気|おんき|calma|穏健|おんけん|moderado
下|5|Abaixo, Embaixo|下手|へた|inábil, desajeitado|下記|かき|a seguir|下着|したぎ|roupa íntima
化|3|Transformação|化学|かがく|química|化粧|けしょう|maquiagem|文化|ぶんか|cultura
火|5|Fogo|火曜日|かようび|terça-feira|火山|かざん|vulcão|火事|かじ|incêndio
加|3|Aumento, Adição|加算|かさん|adição|加速|かそく|aceleração|追加|ついか|adição
可|3|Possível, bonito|可能|かのう|possível|可愛い|かわいい|bonito|可視|かし|visível
仮|2|Temporário|仮面|かめん|máscara|仮設|かせつ|construção temporária|仮定|かてい|supondo
何|5|O que|何か|なにか|algo|何時|なんじ|que horas|何人|なんにん|quantas pessoas
花|4|Flor|花火|はなび|fogo de artifício|花瓶|かびん|vaso de flores|花束|はなたば|bouquet
佳|1|Bom, belo|佳人|かじん|bela|佳作|かさく|boa obra|佳境|かきょう|momento emocionante
価|2|Valor, Preço|価格|かかく|preço|価値|かち|valor|価額|かがく|quantia
果|3|Fruta, Resultado|果物|くだもの|frutas|結果|けっか|resultado|果て|はて|fim
河|2|Rio|河川|かせん|rios|河童|かっぱ|kappa|河口|こうこう|boca do rio
苛|0|Cruel, Estricto|苛立ち|いらだち|Irritação|苛酷|かこく|Crueldade|苛める|いじめる|Intimidar
科|3|Departamento, Ciência|科目|かもく|disciplina|医学科|いがくか|faculdade de medicina|学科|がっか|curso
架|1|Suporte, Estrutura|架橋|かきょう|ponte (construção)|架空|かくう|fictício|架台|かだい|estrutura de suporte
夏|4|Verão|夏休み|なつやすみ|férias de verão|夏祭り|なつまつり|festival de verão|真夏|まなつ|meio do verão
家|4|Casa|家族|かぞく|família|家屋|おく|edifício|家賃|やちん|aluguel
荷|2|Carga, bagagem|荷物|にもつ|bagagem|荷台|にだい|cama de carga|荷造り|にづくり|embalagem
華|1|Flor, esplendor|華やか|はなやか|brilhante|華族|かぞく|nobreza|華道|かどう|arte floral
菓|2|Doce, Confeitaria|菓子|かし|doces|菓子店|かしてん|confeitaria|和菓子|わがし|doces japoneses
貨|2|Mercadoria|貨物|かもつ|carga|貨幣|かへい|moeda|貨車|かしゃ|vagão
渦|1|Redemoinho|渦巻き|うずまき|redemoinho|渦潮|うずしお|corrente de redemoinho|渦中|かちゅう|no meio do redemoinho
過|3|Passar|過去|かこ|passado|過剰|かじょう|excesso|過失|かしつ|erro
嫁|1|Esposa|嫁|よめ|esposa|嫁入り|よめいり|casamento (para a noiva)|嫁さん|よめさん|senhora (esposa)
暇|1|Lazer, Tempo livre|暇人|ひまじん|pessoa ociosa|暇つぶし|ひまつぶし|passatempo|暇な時|ひまなとき|quando estou livre
禍|1|Desgraça, calamidade|災禍|さいか|desgraça|禍根|かこん|raiz de calamidade|禍福|かふく|mau e bom
靴|3|Sapato, Calçado|靴下|くつした|meia|靴屋|くつや|loja de calçados|靴袋|くつぶくろ|sacola para sapatos
寡|1|Pouco|寡婦|かふ|viúva|寡占|かせん|oligopólio|寡聞|かぶん|pouco conhecimento
歌|4|Cantar, Música|歌手|かしゅ|cantor, cantora|歌う|うたう|cantar|歌詞|かし|letra (de música)
箇|1|Item, Unidade|箇所|かしょ|lugar, local|個人|こじん|indivíduo|個数|こすう|número de itens
稼|1|Rendimento, Lucro|稼ぐ|かせぐ|ganhar (dinheiro)|稼ぎ|かせぎ|renda, ganho|稼働|かどう|operações
課|2|Curso, Aula|課題|かだい|tarefa|課長|かちょう|chefe de seção|課税|かぜい|imposto
蚊|1|Mosquito|蚊帳|かや|mosquiteiro|蚊|か|mosquito|蚊取り線香|かとりせんこう|incenso repelente
牙|0|Dente|牙狼|がろう|lobo de dentes afiados|犬牙|けんが|dente canino|切牙|せつが|dente cortante
瓦|0|Telha|瓦屋|かわらや|telheiro|瓦礫|がれき|escombros|瓦版|かわらばん|jornal
我|1|Eu, meu|我々|われわれ|nós|我が家|わがや|minha casa|我慢|がまん|paciência
画|4|Desenho, Pintura|画家|がか|pintor|絵画|かいが|pintura|計画|けいかく|plano
芽|1|Broto, brotação|芽生え|めばえ|brotinho|芽吹く|めぶく|brotar|若芽|わかめ|broto jovem
賀|1|Celebração|賀正|がしょう|Feliz Ano Novo|賀詞|がし|Mensagem de felicitação|祝賀|しゅくが|Celebração
雅|1|Elegante, Refinado|雅楽|ががく|música elegante|優雅|ゆうが|sofisticação|雅言|がげん|linguagem refinada
餓|1|Fome|餓死|がし|morte por fome|餓鬼|がき|espírito faminto|餓え|うえ|fome
介|2|Intermediário|介護|かいご|cuidados|仲介|ちゅうかい|intermediação|介入|かいにゅう|intervenção
回|3|Revolução, Giro|回転|かいてん|rotação|回数|かいすう|número de vezes|回復|かいふく|recuperação
灰|2|Cinzas|灰色|はいろ|cinza|灰皿|はいざら|cinzeiro|灰燼|かいじん|restos
会|4|Encontro, reunião|会議|かいぎ|reunião|開催|かいさい|realização|会員|かいいん|membro
快|2|Conforto, Satisfação|快適|かいてき|confortável|快感|かいかん|sensação agradável|快晴|かいせい|dia ensolarado
戒|1|Advertência, Proibição|戒律|かいりつ|preceito|戒め|いましめ|advertência|戒める|いましめる|proibir
改|2|Reformar, Alterar|改札|かいさつ|catraca|改善|かいぜん|melhoria|変更|へんこう|modificação
怪|1|Estranho, assustador|怪物|かいぶつ|monstro|怪奇|かいき|estranho, bizarro|怪談|かいだん|história de terror
拐|1|Sequestrar, Desviar|拐帯|かいたい|sequestrar|拐杖|かいじょう|bastão (de apoio)|拐犯|かいはん|sequestrador
悔|1|Arrependimento|悔い|くい|arrependimento|悔やむ|くやむ|lamentar|悔い改める|くいあらためる|se arrepender
海|4|Mar, Oceano|海岸|かいがん|costa|海洋|かいよう|oceano|海賊|かいぞく|pirata
界|4|Mundo, Arena|世界|せかい|mundo|界限|かいげん|limite|境界|きょうかい|fronteira
皆|3|Todos, todos os|皆さん|みなさん|todos vocês|皆食べる|みんなたべる|todos comem|皆で|みんなで|juntos por todos
械|2|Máquina|機械|きかい|máquina|械|あい|máquina (sufixo)|器械|きかい|instrumento
絵|3|Desenho, Pintura|絵画|かいが|pintura|絵本|えほん|livro ilustrado|絵師|えし|ilustrador
開|4|Abrir|開店|かいてん|abertura de loja|開発|かいはつ|desenvolvimento|開放|かいほう|liberação
階|2|Andar, Escada|階段|かいだん|escada|階層|かいそう|nível|階級|かいきゅう|classe
塊|1|Pedaço, massa|塊根|かいこん|raiz tuberosa|塊状|かいじょう|em bloco|塊積み|かいづみ|acumulação
楷|0|Caligrafia, regular|楷書|かいしょ|caligrafia regular|楷型|かいがた|modelo regular|楷模|かいも|exemplo ideal
解|3|Resolver|解答|かいとう|resposta|解決|かいけつ|solução|理解|りかい|entendimento
潰|0|Aperto, esmagamento|潰れる|つぶれる|esmagar|潰す|つぶす|esmagar (algo)|潰瘍|かいよう|úlcera
壊|1|Quebrar, Destruir|壊す|こわす|quebrar|壊れる|こわれる|estar quebrado|壊滅|かいめつ|destruição
懐|1|Coração, bolso|懐かしい|なつかしい|nostálgico|懐中時計|かいちゅうどけい|relógio de bolso|懐が深い|ふところがふかい|generoso
諧|0|Harmonia, Simetria|諧音|かいおん|homófono|諧調|かいちょう|harmonia|諧俗|かいぞく|coisas populares
貝|2|Concha, Molusco|貝殻|かいがら|casca de concha|貝類|ばいるい|moluscos|貝塚|かいづか|montículo de conchas
外|5|Fora, Exterior|外見|がいけん|aparência exterior|外国|がいこく|país estrangeiro|外食|がいしょく|refeições fora
劾|1|Afastamento|劾議|がいぎ|impeachment|劾罰|がいばつ|punir|劾罪|がいざい|crime de impeachment
害|3|Dano, Prejuízo|害虫|がいちゅう|inseto daninho|害悪|がいあく|malefício|危害|きがい|perigo
崖|0|Penhasco, Falésia|崖崩れ|がけくずれ|deslizamento de penhasco|崖上|がけうえ|topo do penhasco|崖道|がけみち|caminho do penhasco
涯|1|Margem, Limite|海涯|うみがい|margem do mar|涯界|がいかい|fronteira|境涯|きょうがい|limite da vida
街|1|Cidade, Rua|街角|まちかど|esquina|市街|しがい|centro da cidade|街灯|がいとう|poste de iluminação
慨|1|Decepção, Tristeza|慨嘆|がいたん|lamento|慨然|がいぜん|desapontado|慨叹|がいたん|lamentar
蓋|0|Tampa, Capa|蓋|ふた|tampa|蓋物|ふたもの|cobertura|蓋然性|がいぜんせい|probabilidade
該|1|Pela, respectivo|該当|がいとう|correspondente|該誌|がいし|revista em questão|該国|がいこく|país em questão
概|1|Conceito, Ideia|概念|がいねん|conceito|概略|がいりゃく|esboço|概算|がいさん|cálculo aproximado
骸|0|Cadáver, Esqueleto|骸骨|がいこつ|esqueleto|骸|むくろ|cadáver|骸遺|むくろい|restos mortais
垣|1|Cerca, muro|垣根|かきね|cerca viva|垣|かき|cerca|垣間見る|かきまみる|espiar
柿|0|Caqui|柿の葉|かきのは|folha de caqui|柿の実|かきのみ|fruto do caqui|干し柿|ほしがき|caqui seco
各|2|Cada, Vários|各国|かっこく|cada país|各自|かくじ|cada um|各地|かくち|vários lugares
角|2|Canto, ângulo|角度|かくど|ângulo|角柱|かくちゅう|prisma|角膜|かくまく|córnea
拡|2|Expandir, Ampliar|拡大|かくだい|ampliação|拡張|かくちょう|expansão|拡散|かくさん|dissipação
革|2|Couro|革新|かくしん|inovação|革ジャン|かわじゃん|jaqueta de couro|革製|かわせい|feita de couro
格|3|Padrão, Classe|格好|かっこう|forma, aparência|格式|かくしき|formato, estilo|資格|しかく|qualificação, título
核|1|Núcleo|原子核|げんしかく|núcleo atômico|核兵器|かくへいき|arma nuclear|核医学|かくいがく|medicina nuclear
殻|1|Casca, Concha|卵殻|らんかく|casca de ovo|甲殻類|こうかくるい|crustáceo|貝殻|かいがら|concha
郭|1|Muro, cercado|郭公|かっこう|cuco|城郭|じょうかく|castelo|郭外|かくがい|fora da muralha
覚|3|Memória, Lembrança|覚える|おぼえる|lembrar|覚醒|かくせい|despertar|覚え書き|おぼえがき|anotações
較|2|Comparar|較差|こうさ|diferença comparativa|較量|かくりょう|competição|較正|こうせい|correção comparativa
隔|1|Separação|隔離|かくり|isolamento|隔てる|へだてる|separar|隔世|かくせい|gerações distintas
閣|1|Gabinete, Departamento|閣僚|かくりょう|ministro|内閣|ないかく|governo|閣下|かっか|vossa excelência
確|3|Certo, Confirmado|確実|かくじつ|certo|確認|かくにん|confirmação|確保|かくほ|garantia
獲|1|Captura, adquirindo|獲物|えもの|presa|獲得|かくとく|aquisição|捕獲|ほかく|captura
嚇|1|Amedrontar|驚嚇|きょうかく|sobressalto|恐嚇|きょうかく|ameaça|喚嚇|かんかく|intimidação
穫|1|Colheita|穫穫|かくかく|crescimento e colheita|収穫|しゅうかく|colheita|穫物|かくぶつ|produtos colhidos
学|5|Estudo, Aprendizado|学び|まなび|aprendizado|学生|がくせい|estudante|学校|がっこう|escola
岳|1|Montanha|山岳|さんがく|montanhas|岳父|がくふ|sogro|岳洋|がくよう|nome próprio
楽|4|Divertido, alegre|楽しい|たのしい|divertido|楽しむ|たのしむ|aproveitar|楽器|がっき|instrumento musical
額|2|Testa, Quadro|額縁|がくぶち|moldura|額面|がくめん|valor nominal|額温|がくおん|temperatura maior
顎|0|Maxilar, Queixo|顎関節|がくかんせつ|articulação da mandíbula|顎髭|あごひげ|barba do queixo|顎骨|がくこつ|osso mandibular
掛|1|Pendurar, ligar|掛ける|かける|pendurar|掛かる|かかる|ligar|掛け物|かけもの|decoração
潟|1|pântano, brejo|潟湖|がたこ|lagoa|潟|かた|pântano|潟地|かたち|terreno pantanoso
括|1|Envolver, fechar|括弧|かっこ|parênteses|括約筋|かつやくきん|esfíncter|括り|くくり|união
活|3|Vida, Atividade|活動|かつどう|atividade|活発|かっぱつ|ativo|活躍|かつやく|destacar-se
喝|1|Grito, repugnância|喝采|かっさい|aplausos|喝入れ|かついれ|gritar para encorajar|喝|かつ|grito
渇|1|Sede|渇望|かつぼう|desejo intenso|渇水|かっすい|seca|渇き|かわき|sede
割|3|Dividir, Cortar|割引|わりびき|desconto|割合|わりあい|proporção|割り算|わりざん|divisão
葛|0|Herbácea|葛藤|かっとう|conflito|葛根|かっこん|raiz de kudzu|葛飾|かつしか|Katsushika (bairro de Tóquio)
滑|1|Escorregar|滑り台|すべりだい|escorregador|滑る|すべる|escorregar|滑走|かっそう|voo
褐|1|Marrom|褐色|かっしょく|cor marrom|褐鉄鉱|かってっこう|hematita|褐炭|かったん|linhito
轄|1|Jurisdicional|轄区|かっく|distrito|轄制|かっせい|controle|轄権|かっけん|jurisdição
且|1|E, também|且つ|かつ|e também|且つ|また|além disso|且つ|しかも|mais ainda
株|1|Ação, Estoque|株式|かぶしき|ações|株価|かぶか|preço das ações|株主|かぶぬし|acionista
釜|0|Caldeirão|釜飯|かまめし|arroz feito em panela de barro|釜|かま|caldeirão|釜茹で|かまゆで|cozido em caldeirão
